date,open,close,high,low,volume,num_transactions
,5.95,5.95,5.95,5.95,7435,110
,5.95,5.95,5.95,5.95,1226,4
,5.95,5.95,5.95,5.95,1854,5
,5.95,5.95,5.95,5.95,1094,2
,5.95,5.95,5.95,5.95,53,2
,5.95,5.95,5.95,5.95,2185,7
,5.95,5.95,5.95,5.95,25,1
,5.95,5.95,5.95,5.95,88,1
,5.95,5.95,5.95,5.95,612,5
,5.95,5.95,5.95,5.95,8043,9
,5.95,5.95,5.95,5.95,8868,15
,5.95,5.95,5.95,5.95,816,4
,5.95,5.95,5.95,5.95,22,2
,5.95,5.95,5.95,5.95,87,1
,5.95,5.95,5.95,5.95,133,1
,5.95,5.95,5.95,5.95,1002,2
,5.95,5.95,5.95,5.95,4415,10
,5.95,5.95,5.95,5.95,911,6
,5.95,5.95,5.95,5.95,2057,4
,5.95,5.95,5.95,5.95,1978,7
,5.95,5.95,5.95,5.95,876,3
,5.95,5.95,5.95,5.95,4557,15
,5.95,5.95,5.95,5.95,2216,13
,5.95,5.95,5.95,5.95,540,7
,5.95,5.95,5.95,5.95,1774,6
,5.95,5.95,5.95,5.95,2714,9
,5.95,5.95,5.95,5.95,745,19
,5.95,5.95,5.95,5.95,4611,15
,5.95,5.95,5.95,5.95,10593,174
,5.95,5.95,5.95,5.95,9574,25
